,number,symbol,chart_col,chart_row,chart_x,source,percent,format_percent,source_str,percent_str,source_word
123,69,Tm,16.0,7.5,139.0,"['o', 'y']","['0.876', '0.124']",%.0f,y,0.124,Dying low-mass stars
124,70,Yb,17.0,7.5,111.0,"['o', 'y']","['0.680', '0.320']",%.0f,o,0.680,Merging neutron stars
125,70,Yb,17.0,7.5,111.0,"['o', 'y']","['0.680', '0.320']",%.0f,y,0.320,Dying low-mass stars
126,71,Lu,18.0,7.5,127.0,"['o', 'y']","['0.803', '0.197']",%.0f,o,0.803,Merging neutron stars
127,71,Lu,18.0,7.5,127.0,"['o', 'y']","['0.803', '0.197']",%.0f,y,0.197,Dying low-mass stars
128,72,Hf,4.0,6.0,88.0,"['o', 'y']","['0.453', '0.547']",%.0f,o,0.453,Merging neutron stars
129,72,Hf,4.0,6.0,88.0,"['o', 'y']","['0.453', '0.547']",%.0f,y,0.547,Dying low-mass stars
130,73,Ta,5.0,6.0,101.0,"['o', 'y']","['0.588', '0.412']",%.0f,o,0.588,Merging neutron stars
131,73,Ta,5.0,6.0,101.0,"['o', 'y']","['0.588', '0.412']",%.0f,y,0.412,Dying low-mass stars
132,74,W,6.0,6.0,86.0,"['o', 'y']","['0.432', '0.568']",%.0f,o,0.432,Merging neutron stars
133,74,W,6.0,6.0,86.0,"['o', 'y']","['0.432', '0.568']",%.0f,y,0.568,Dying low-mass stars
134,75,Re,7.0,6.0,147.0,"['o', 'y']","['0.916', '0.084']",%.0f,o,0.916,Merging neutron stars
135,75,Re,7.0,6.0,147.0,"['o', 'y']","['0.916', '0.084']",%.0f,y,0.084,Dying low-mass stars
136,76,Os,8.0,6.0,144.0,"['o', 'y']","['0.902', '0.098']",%.0f,o,0.902,Merging neutron stars
137,76,Os,8.0,6.0,144.0,"['o', 'y']","['0.902', '0.098']",%.0f,y,0.098,Dying low-mass stars
138,77,Ir,9.0,6.0,169.0,"['o', 'y']","['0.985', '0.015']",%.0f,o,0.985,Merging neutron stars
